"NRO_HOGAR";"RESPONDENTE";"IP_III_04";"IP_III_05";"IP_III_06";"CODUSU";"AGLOMERADO";"POND_TIC";"TRIMESTRE";"ANO4";"COMPONENTE"
1;2;1;1;1;"TQRMNOQWWHJMKMCDEFIAH00664944";2;555;4;2020;1
1;1;1;2;1;"TQRMNOQWXHJMKMCDEFIAH00664945";2;555;4;2020;1
1;1;1;2;1;"TQRMNOQWYHJMKMCDEFIAH00664946";2;555;4;2020;1
1;1;1;2;1;"TQRMNOQWYHJMKMCDEFIAH00664946";2;555;4;2020;2
1;1;1;2;1;"TQRMNOQXPHJMKMCDEFIAH00664947";2;555;4;2020;1
1;1;1;1;1;"TQRMNOQXPHJMKMCDEFIAH00664947";2;555;4;2020;2
1;1;2;2;1;"TQRMNOTSQHJMKMCDEFIAH00664948";2;555;4;2020;1
1;1;2;2;2;"TQRMNOTSRHJMKMCDEFIAH00664949";2;555;4;2020;3
1;1;1;2;1;"TQRMNOTSRHJMKMCDEFIAH00664949";2;555;4;2020;4
1;1;1;2;1;"TQRMNOTSRHJMKMCDEFIAH00664949";2;555;4;2020;1
1;1;1;2;1;"TQRMNOTSTHJMKMCDEFIAH00664950";2;555;4;2020;1
1;1;2;2;2;"TQRMNOTSTHJMKMCDEFIAH00664950";2;555;4;2020;2
1;1;1;1;1;"TQRMNOTSUHJMKMCDEFIAH00664951";2;555;4;2020;1
1;1;1;1;1;"TQRMNOTSUHJMKMCDEFIAH00664951";2;555;4;2020;3
1;1;1;1;1;"TQRMNOTSUHJMKMCDEFIAH00664951";2;555;4;2020;2
1;1;1;1;1;"TQRMNOPWQHJMKPCDEFIAH00664952";2;502;4;2020;1
1;1;1;1;1;"TQRMNOPWQHJMKPCDEFIAH00664952";2;502;4;2020;4
1;1;1;1;1;"TQRMNOPWQHJMKPCDEFIAH00664952";2;502;4;2020;3
1;1;1;2;1;"TQRMNOPWQHJMKPCDEFIAH00664952";2;502;4;2020;2
1;1;1;1;1;"TQRMNOPWTHJMKPCDEFIAH00664953";2;502;4;2020;1
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;5
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;6
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;4
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;2
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;3
1;1;1;1;1;"TQRMNOPWUHJMKPCDEFIAH00664954";2;502;4;2020;1
1;1;1;2;1;"TQRMNORQWHJMKPCDEFIAH00664955";2;502;4;2020;2
1;1;1;2;1;"TQRMNORQWHJMKPCDEFIAH00664955";2;502;4;2020;1
1;1;1;1;1;"TQRMNORQYHJMKPCDEFIAH00664956";2;502;4;2020;2
1;1;1;1;1;"TQRMNORQYHJMKPCDEFIAH00664956";2;502;4;2020;1
1;1;1;2;2;"TQRMNORQYHJMKPCDEFIAH00664956";2;502;4;2020;3
1;1;1;2;1;"TQRMNORRPHJMKPCDEFIAH00664957";2;502;4;2020;1
1;1;1;1;1;"TQRMNOQQWHJMKQCDEFIAH00664958";2;569;4;2020;1
1;1;1;1;1;"TQRMNOQQWHJMKQCDEFIAH00664958";2;569;4;2020;2
1;1;1;1;1;"TQRMNOQQXHJMKQCDEFIAH00664959";2;569;4;2020;1
1;1;1;1;1;"TQRMNOQQYHJMKQCDEFIAH00664960";2;569;4;2020;4
1;1;1;1;1;"TQRMNOQQYHJMKQCDEFIAH00664960";2;569;4;2020;2
1;1;2;2;2;"TQRMNOQQYHJMKQCDEFIAH00664960";2;569;4;2020;1
1;1;1;1;1;"TQRMNOQQYHJMKQCDEFIAH00664960";2;569;4;2020;3
1;1;1;2;2;"TQRMNOQXPHKOMLCDEFIAH00665093";2;905;4;2020;3
1;1;1;2;1;"TQRMNOQXPHKOMLCDEFIAH00665093";2;905;4;2020;4
1;1;1;2;1;"TQRMNOQXQHKOMLCDEFIAH00665094";2;905;4;2020;2
1;1;1;2;2;"TQRMNOQXQHKOMLCDEFIAH00665094";2;905;4;2020;4
